id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1,CDS,cde_fo,EURINR,1001,FUTCUR,XX,-1,EURINR23JUNFUT,EURINR23JUNFUT,EURINR 28JUN23 FUT,28-06-2023,1,0.0025
2,CDS,cde_fo,EURINR,1002,OPTCUR,CE,87,EURINR21OCTOBER2287CE,EURINR22O87CE,EURINR 21OCT22 87 CE,21-10-2022,1,0.0025
3,CDS,cde_fo,EURINR,1003,OPTCUR,CE,86,EURINR02DECEMBER2286CE,EURINR22D86CE,EURINR 02DEC22 86 CE,02-12-2022,1,0.0025
4,CDS,cde_fo,EURINR,1004,FUTCUR,XX,-1,EURINR22DECFUT,EURINR22DFUT,EURINR 16DEC22 FUT,16-12-2022,1,0.0025
5,CDS,cde_fo,EURINR,1005,OPTCUR,CE,86,EURINR28NOVEMBER2286CE,EURINR22NOV86CE,EURINR 28NOV22 86 CE,28-11-2022,1,0.0025
6,CDS,cde_fo,EURUSD,1006,FUTCUR,XX,-1,EURUSD23JUNFUT,EURUSD23JUNFUT,EURUSD 28JUN23 FUT,28-06-2023,1,0.0001
7,CDS,cde_fo,EURINR,1007,OPTCUR,PE,87,EURINR21OCTOBER2287PE,EURINR22O87PE,EURINR 21OCT22 87 PE,21-10-2022,1,0.0025
8,CDS,cde_fo,EURINR,1010,FUTCUR,XX,-1,EURINR23MARFUT,EURINR23MARFUT,EURINR 29MAR23 FUT,29-03-2023,1,0.0025
9,CDS,cde_fo,GBPINR,1012,OPTCUR,CE,95,GBPINR16DECEMBER2295CE,GBPINR22D95CE,GBPINR 16DEC22 95 CE,16-12-2022,1,0.0025
10,CDS,cde_fo,EURUSD,1016,FUTCUR,XX,-1,EURUSD23MARFUT,EURUSD23MARFUT,EURUSD 29MAR23 FUT,29-03-2023,1,0.0001
11,CDS,cde_fo,GBPINR,1018,FUTCUR,XX,-1,GBPINR22DECFUT,GBPINR22DFUT,GBPINR 16DEC22 FUT,16-12-2022,1,0.0025
12,CDS,cde_fo,EURUSD,1020,OPTCUR,CE,1.14,EURUSD27OCTOBER221.14CE,EURUSD22OCT1.14CE,EURUSD 27OCT22 1.14 CE,27-10-2022,1,0.0001
13,CDS,cde_fo,EURUSD,1022,OPTCUR,CE,0.935,EURUSD28JUNE230.935CE,EURUSD23JUN0.935CE,EURUSD 28JUN23 0.935 CE,28-06-2023,1,0.0001
