Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,SILVERM,246527,OPTFUT,CE,50250,SILVERM23FEB50250CE,SILVERM23FEB50250CE,SILVERM 17FEB23 50250 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246528,OPTFUT,PE,50250,SILVERM23FEB50250PE,SILVERM23FEB50250PE,SILVERM 17FEB23 50250 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246529,OPTFUT,CE,50500,SILVERM23FEB50500CE,SILVERM23FEB50500CE,SILVERM 17FEB23 50500 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246530,OPTFUT,PE,50500,SILVERM23FEB50500PE,SILVERM23FEB50500PE,SILVERM 17FEB23 50500 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246465,OPTFUT,CE,50750,SILVERM23FEB50750CE,SILVERM23FEB50750CE,SILVERM 17FEB23 50750 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246466,OPTFUT,PE,50750,SILVERM23FEB50750PE,SILVERM23FEB50750PE,SILVERM 17FEB23 50750 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246467,OPTFUT,CE,51000,SILVERM23FEB51000CE,SILVERM23FEB51000CE,SILVERM 17FEB23 51000 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,246468,OPTFUT,PE,51000,SILVERM23FEB51000PE,SILVERM23FEB51000PE,SILVERM 17FEB23 51000 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,245227,OPTFUT,CE,51250,SILVERM23FEB51250CE,SILVERM23FEB51250CE,SILVERM 17FEB23 51250 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,245228,OPTFUT,PE,51250,SILVERM23FEB51250PE,SILVERM23FEB51250PE,SILVERM 17FEB23 51250 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,245185,OPTFUT,CE,51500,SILVERM23FEB51500CE,SILVERM23FEB51500CE,SILVERM 17FEB23 51500 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,245186,OPTFUT,PE,51500,SILVERM23FEB51500PE,SILVERM23FEB51500PE,SILVERM 17FEB23 51500 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244625,OPTFUT,CE,51750,SILVERM23FEB51750CE,SILVERM23FEB51750CE,SILVERM 17FEB23 51750 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244626,OPTFUT,PE,51750,SILVERM23FEB51750PE,SILVERM23FEB51750PE,SILVERM 17FEB23 51750 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244627,OPTFUT,CE,52000,SILVERM23FEB52000CE,SILVERM23FEB52000CE,SILVERM 17FEB23 52000 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244628,OPTFUT,PE,52000,SILVERM23FEB52000PE,SILVERM23FEB52000PE,SILVERM 17FEB23 52000 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244629,OPTFUT,CE,52250,SILVERM23FEB52250CE,SILVERM23FEB52250CE,SILVERM 17FEB23 52250 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244630,OPTFUT,PE,52250,SILVERM23FEB52250PE,SILVERM23FEB52250PE,SILVERM 17FEB23 52250 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244631,OPTFUT,CE,52500,SILVERM23FEB52500CE,SILVERM23FEB52500CE,SILVERM 17FEB23 52500 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244632,OPTFUT,PE,52500,SILVERM23FEB52500PE,SILVERM23FEB52500PE,SILVERM 17FEB23 52500 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244526,OPTFUT,CE,52750,SILVERM23FEB52750CE,SILVERM23FEB52750CE,SILVERM 17FEB23 52750 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244527,OPTFUT,PE,52750,SILVERM23FEB52750PE,SILVERM23FEB52750PE,SILVERM 17FEB23 52750 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244258,OPTFUT,CE,53000,SILVERM23FEB53000CE,SILVERM23FEB53000CE,SILVERM 17FEB23 53000 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244259,OPTFUT,PE,53000,SILVERM23FEB53000PE,SILVERM23FEB53000PE,SILVERM 17FEB23 53000 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244260,OPTFUT,CE,53250,SILVERM23FEB53250CE,SILVERM23FEB53250CE,SILVERM 17FEB23 53250 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244261,OPTFUT,PE,53250,SILVERM23FEB53250PE,SILVERM23FEB53250PE,SILVERM 17FEB23 53250 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244262,OPTFUT,CE,53500,SILVERM23FEB53500CE,SILVERM23FEB53500CE,SILVERM 17FEB23 53500 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244263,OPTFUT,PE,53500,SILVERM23FEB53500PE,SILVERM23FEB53500PE,SILVERM 17FEB23 53500 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244264,OPTFUT,CE,53750,SILVERM23FEB53750CE,SILVERM23FEB53750CE,SILVERM 17FEB23 53750 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244265,OPTFUT,PE,53750,SILVERM23FEB53750PE,SILVERM23FEB53750PE,SILVERM 17FEB23 53750 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244266,OPTFUT,CE,54000,SILVERM23FEB54000CE,SILVERM23FEB54000CE,SILVERM 17FEB23 54000 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244267,OPTFUT,PE,54000,SILVERM23FEB54000PE,SILVERM23FEB54000PE,SILVERM 17FEB23 54000 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244043,OPTFUT,CE,54250,SILVERM23FEB54250CE,SILVERM23FEB54250CE,SILVERM 17FEB23 54250 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244044,OPTFUT,PE,54250,SILVERM23FEB54250PE,SILVERM23FEB54250PE,SILVERM 17FEB23 54250 PE,2023-02-17,5,0.5
MCX,mcx_fo,SILVERM,244045,OPTFUT,CE,54500,SILVERM23FEB54500CE,SILVERM23FEB54500CE,SILVERM 17FEB23 54500 CE,2023-02-17,5,0.5
MCX,mcx_fo,SILVER,246656,OPTFUT,CE,48500,SILVER23APR48500CE,SILVER23APR48500CE,SILVER 26APR23 48500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246657,OPTFUT,PE,48500,SILVER23APR48500PE,SILVER23APR48500PE,SILVER 26APR23 48500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246658,OPTFUT,CE,48750,SILVER23APR48750CE,SILVER23APR48750CE,SILVER 26APR23 48750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246659,OPTFUT,PE,48750,SILVER23APR48750PE,SILVER23APR48750PE,SILVER 26APR23 48750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246660,OPTFUT,CE,49000,SILVER23APR49000CE,SILVER23APR49000CE,SILVER 26APR23 49000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246661,OPTFUT,PE,49000,SILVER23APR49000PE,SILVER23APR49000PE,SILVER 26APR23 49000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246535,OPTFUT,CE,49250,SILVER23APR49250CE,SILVER23APR49250CE,SILVER 26APR23 49250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246536,OPTFUT,PE,49250,SILVER23APR49250PE,SILVER23APR49250PE,SILVER 26APR23 49250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246537,OPTFUT,CE,49500,SILVER23APR49500CE,SILVER23APR49500CE,SILVER 26APR23 49500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246538,OPTFUT,PE,49500,SILVER23APR49500PE,SILVER23APR49500PE,SILVER 26APR23 49500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246539,OPTFUT,CE,49750,SILVER23APR49750CE,SILVER23APR49750CE,SILVER 26APR23 49750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246540,OPTFUT,PE,49750,SILVER23APR49750PE,SILVER23APR49750PE,SILVER 26APR23 49750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246541,OPTFUT,CE,50000,SILVER23APR50000CE,SILVER23APR50000CE,SILVER 26APR23 50000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246542,OPTFUT,PE,50000,SILVER23APR50000PE,SILVER23APR50000PE,SILVER 26APR23 50000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246543,OPTFUT,CE,50250,SILVER23APR50250CE,SILVER23APR50250CE,SILVER 26APR23 50250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246544,OPTFUT,PE,50250,SILVER23APR50250PE,SILVER23APR50250PE,SILVER 26APR23 50250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246471,OPTFUT,CE,50500,SILVER23APR50500CE,SILVER23APR50500CE,SILVER 26APR23 50500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246472,OPTFUT,PE,50500,SILVER23APR50500PE,SILVER23APR50500PE,SILVER 26APR23 50500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246473,OPTFUT,CE,50750,SILVER23APR50750CE,SILVER23APR50750CE,SILVER 26APR23 50750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246474,OPTFUT,PE,50750,SILVER23APR50750PE,SILVER23APR50750PE,SILVER 26APR23 50750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246475,OPTFUT,CE,51000,SILVER23APR51000CE,SILVER23APR51000CE,SILVER 26APR23 51000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,246476,OPTFUT,PE,51000,SILVER23APR51000PE,SILVER23APR51000PE,SILVER 26APR23 51000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244667,OPTFUT,CE,51250,SILVER23APR51250CE,SILVER23APR51250CE,SILVER 26APR23 51250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244668,OPTFUT,PE,51250,SILVER23APR51250PE,SILVER23APR51250PE,SILVER 26APR23 51250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244669,OPTFUT,CE,51500,SILVER23APR51500CE,SILVER23APR51500CE,SILVER 26APR23 51500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244670,OPTFUT,PE,51500,SILVER23APR51500PE,SILVER23APR51500PE,SILVER 26APR23 51500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244671,OPTFUT,CE,51750,SILVER23APR51750CE,SILVER23APR51750CE,SILVER 26APR23 51750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244672,OPTFUT,PE,51750,SILVER23APR51750PE,SILVER23APR51750PE,SILVER 26APR23 51750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244673,OPTFUT,CE,52000,SILVER23APR52000CE,SILVER23APR52000CE,SILVER 26APR23 52000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244674,OPTFUT,PE,52000,SILVER23APR52000PE,SILVER23APR52000PE,SILVER 26APR23 52000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244675,OPTFUT,CE,52250,SILVER23APR52250CE,SILVER23APR52250CE,SILVER 26APR23 52250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244676,OPTFUT,PE,52250,SILVER23APR52250PE,SILVER23APR52250PE,SILVER 26APR23 52250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244677,OPTFUT,CE,52500,SILVER23APR52500CE,SILVER23APR52500CE,SILVER 26APR23 52500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244678,OPTFUT,PE,52500,SILVER23APR52500PE,SILVER23APR52500PE,SILVER 26APR23 52500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244544,OPTFUT,CE,52750,SILVER23APR52750CE,SILVER23APR52750CE,SILVER 26APR23 52750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244545,OPTFUT,PE,52750,SILVER23APR52750PE,SILVER23APR52750PE,SILVER 26APR23 52750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244458,OPTFUT,CE,53000,SILVER23APR53000CE,SILVER23APR53000CE,SILVER 26APR23 53000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244459,OPTFUT,PE,53000,SILVER23APR53000PE,SILVER23APR53000PE,SILVER 26APR23 53000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244310,OPTFUT,CE,53250,SILVER23APR53250CE,SILVER23APR53250CE,SILVER 26APR23 53250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244311,OPTFUT,PE,53250,SILVER23APR53250PE,SILVER23APR53250PE,SILVER 26APR23 53250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244089,OPTFUT,CE,53500,SILVER23APR53500CE,SILVER23APR53500CE,SILVER 26APR23 53500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244090,OPTFUT,PE,53500,SILVER23APR53500PE,SILVER23APR53500PE,SILVER 26APR23 53500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,244091,OPTFUT,CE,53750,SILVER23APR53750CE,SILVER23APR53750CE,SILVER 26APR23 53750 CE,2023-04-26,30,0.5
